,5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],Event 5G-NR/LTE Events,LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell UL MCS,LTE KPI PUSCH BLER[%],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],Lat,Lon,Smart Phone Smart Throughput Mobile Network Tx Byte,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],TIME_STAMP
0,,,,,,,,,,,,,,,0.059,,,,,,,,,,34.058781,-118.236794,,,1659975460.0
1,,,,,,,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975460.059584
2,,,,,,,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975460.1
3,,,,,,,,,,,,,,,,850.0,417.0,-68.94,,,,,,,34.058781,-118.236794,0.0,0.0,1659975460.2
4,,,,,,,,,,,,,,RRC Setup Start,,,,,,,,,,,34.058781,-118.236794,,,1659975460.299499
5,,,,,,,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975460.3
6,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,34.058781,-118.236794,,,1659975460.300314
7,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,34.058781,-118.236794,,,1659975460.300328
8,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,34.058781,-118.236794,,,1659975460.300342
9,,,,,,,,,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,34.058781,-118.236794,,,1659975460.30119
10,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,34.058781,-118.236794,,,1659975460.301216
11,,,,,,,,,,,,,,RRC Setup Success,,,,,,,,,,,34.058781,-118.236794,,,1659975460.301688
12,,,,,,,,,,,,,,,,850.0,417.0,-69.59,,0.0,,,,,34.058781,-118.236794,,,1659975460.4
13,,,,,,,,,,,,,,CA Config Attempt,,,,,,,,,,,34.058781,-118.236794,,,1659975460.406288
14,,,,,,,,,,,,,,CA Config Success,,,,,,,,,,,34.058781,-118.236794,,,1659975460.408234
15,,,,,,,,,,,,,,,,850.0,417.0,-70.11,16.14,,,,,,34.058781,-118.236794,,,1659975460.5
16,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975460.576047
17,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975460.576098
18,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975460.576241
19,,,,,,,,,,,,,,,,850.0,417.0,-70.09,,0.0,,,,,34.058781,-118.236794,,,1659975460.6
20,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975460.618443
21,,,,,,,,,,,,,,eventB1_NR_r15,,,,,,,,,,,34.058781,-118.236794,,,1659975460.618544
22,,,,,,,,,,,,,,,,850.0,417.0,-70.23,22.0,0.0,,,,,34.058781,-118.236794,140.0,0.002,1659975460.7
23,,,,,,,,,,,,,,Handover Attempt,,,,,,,,,,,34.058781,-118.236794,,,1659975460.783468
24,,,,39250.06,842.0,,,,,,,,,,,850.0,417.0,-70.5,,,,,,,34.058781,-118.236794,,,1659975460.8
25,,,,,,,,,,,,,,Handover Success,,,,,,,,,,,34.058781,-118.236794,,,1659975460.842716
26,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,34.058781,-118.236794,,,1659975460.843403
27,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,34.058781,-118.236794,,,1659975460.844561
28,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,34.058781,-118.236794,,,1659975460.844576
29,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,34.058781,-118.236794,,,1659975460.845069
30,,,,,,,,,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,34.058781,-118.236794,,,1659975460.845093
31,,,,,,,,,,,,,,,,850.0,417.0,-71.51,,,,,,,34.058781,-118.236794,,,1659975460.9
32,,,,,,,,,,,,,,NR SCG Addition Failure	 ,,,,,,,,,,,34.058781,-118.236794,,,1659975460.912315
33,,,,,,,,,,,,,,synchReconfigFailureSCG,,,,,,,,,,,34.058781,-118.236794,,,1659975460.912315
34,,,,,,,,,,,,,,,0.027,850.0,417.0,-71.3,,,,,,,34.058781,-118.236794,,,1659975461.0
35,,,,,,,,,,,,,,Handover Attempt,,,,,,,,,,,34.058781,-118.236794,,,1659975461.071571
36,,,,,,,,,,,,,,,,850.0,417.0,-71.29,,0.0,,,,,34.058781,-118.236794,,,1659975461.1
37,,,,,,,,,,,,,,Handover Success,,,,,,,,,,,34.058781,-118.236794,,,1659975461.139071
38,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,34.058781,-118.236794,,,1659975461.139165
39,,,,,,,,,,,,,,Received RAR[False],,,,,,,,,,,34.058781,-118.236794,,,1659975461.139621
40,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,34.058781,-118.236794,,,1659975461.139684
41,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,34.058781,-118.236794,,,1659975461.140048
42,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,34.058781,-118.236794,,,1659975461.140062
43,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,34.058781,-118.236794,,,1659975461.14032
44,,,,,,,,,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,34.058781,-118.236794,,,1659975461.140335
45,,,,,,,,,,,,,,,,850.0,417.0,-70.91,13.4,,,,,,34.058781,-118.236794,0.0,0.0,1659975461.2
46,,,,,,,,,,,,,,,,850.0,417.0,-70.51,,,,,,,34.058781,-118.236794,,,1659975461.3
47,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975461.331857
48,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975461.33191
49,,,,,,,,,,,,,,eventA1,,,,,,,,,,,34.058781,-118.236794,,,1659975461.391478
50,,,,,,,,,,,,,,,,850.0,417.0,-70.67,,0.0,,,,,34.058781,-118.236794,,,1659975461.4
51,,,,,,,,,,,,,,,,850.0,417.0,-71.54,,,,,,,34.058781,-118.236794,,,1659975461.5
52,,,,,,,,,,,,,,eventB1_NR_r15,,,,,,,,,,,34.058781,-118.236794,,,1659975461.575563
53,0.0,0.0,0.018,39250.06,842.0,,,,,,,,,,,850.0,417.0,-70.72,25.0,0.0,,,,,34.058781,-118.236794,,,1659975461.6
54,,,,,,,,,,,,,,Handover Attempt,,,,,,,,,,,34.058781,-118.236794,,,1659975461.652472
55,,,,,,,,,,,,,,Handover Success,,,,,,,,,,,34.058781,-118.236794,,,1659975461.69126
56,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,34.058781,-118.236794,,,1659975461.69281
57,,,,,,,,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,34.058781,-118.236794,,,1659975461.693614
58,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,34.058781,-118.236794,,,1659975461.693681
59,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,34.058781,-118.236794,,,1659975461.693695
60,,,,,,,,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,34.058781,-118.236794,,,1659975461.69515
61,,,,,,,,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,34.058781,-118.236794,,,1659975461.69515
62,,,,,,,,,,,,,,PRACH: Msg4,,,,,,,,,,,34.058781,-118.236794,,,1659975461.69515
63,,,,,,,,,,,,,,PRACH: Msg4[Pass]			,,,,,,,,,,,34.058781,-118.236794,,,1659975461.69515
64,,,,,,,,,,,,,,PRACH: Msg5,,,,,,,,,,,34.058781,-118.236794,,,1659975461.6952
65,,,,,,,,,,,,,,Received RAR[True],,,,,,,,,,,34.058781,-118.236794,,,1659975461.695711
66,,,,,,,,,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,34.058781,-118.236794,,,1659975461.695724
67,0.0,0.0,2.355,,,,,,,,,,,,,850.0,417.0,-70.79,,,,,,,34.058781,-118.236794,0.0,0.0,1659975461.7
68,,,,,,,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975461.721733
69,0.0,0.0,0.163,39250.06,842.0,-88.57,,,,,,,,,,850.0,417.0,-70.8,,,,,,,34.058781,-118.236794,,,1659975461.8
70,0.0,0.0,0.163,,,,,,,,,,,,,850.0,417.0,-70.88,,,,,,,34.058781,-118.236794,,,1659975461.9
71,0.0,0.0,0.163,39250.06,842.0,-84.67,,,,,,,,,0.014,850.0,417.0,-71.22,,0.0,,,,,34.058781,-118.236794,,,1659975462.0
72,0.0,0.0,0.163,39250.06,842.0,-81.59,,,,,,,,,,850.0,417.0,-71.32,,,,,,,34.058781,-118.236794,,,1659975462.1
73,0.0,0.0,0.163,,,,,,,,,,,,,850.0,417.0,-71.43,,,,,,,34.058781,-118.236794,0.0,0.0,1659975462.2
74,0.0,0.0,0.163,39250.06,842.0,-80.37,,,,,,,,,,850.0,417.0,-71.21,,,,,,,34.058781,-118.236794,,,1659975462.3
75,0.0,0.0,0.163,,,,,,,,,,,,,850.0,417.0,-71.44,,,,,,,34.058781,-118.236794,,,1659975462.4
76,0.0,0.0,0.163,39250.06,842.0,-79.88,,,,,,,,,,850.0,417.0,-70.56,,,,,,,34.058781,-118.236794,,,1659975462.5
77,,,,,,,,,,,,,,,,,,,20.71,,,,,,34.058781,-118.236794,,,1659975462.6
78,0.0,0.0,0.163,39250.06,842.0,-79.15,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,0.0,0.0,1659975462.7
79,0.0,0.0,0.163,39250.06,842.0,-78.8,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975462.8
80,0.0,0.0,0.163,,,,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975462.9
81,0.0,0.0,0.163,39250.06,842.0,-78.66,,,,,,,,,2.82,,,,,,,,,,34.058781,-118.236794,,,1659975463.0
82,0.0,3.5,9.169,39250.06,842.0,-78.71,,,,,,,,,,850.0,417.0,-70.19,,,,,,,34.058781,-118.236794,,,1659975463.1
83,0.0,0.13,4.673,,,,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,183.0,0.003,1659975463.2
84,10.2,2.61,3.382,39250.06,842.0,-78.79,,,,,,,,,,,,,,,,,,,34.058781,-118.236794,,,1659975463.3
85,0.59,7.42,35.813,39250.06,842.0,-78.71,,,,,,,,,,850.0,417.0,-68.75,,,,,,,34.058781,-118.236794,,,1659975463.4
86,0.7,13.35,59.73,,,,,,,,,,,,,850.0,417.0,-68.67,,7.69,,,,,34.058781,-118.236794,,,1659975463.5
87,4.29,11.46,53.47,39250.06,842.0,-78.78,,,,,,,,,,850.0,417.0,-69.15,24.74,0.0,,,,,34.058781,-118.236794,,,1659975463.6
88,10.0,12.99,58.495,39250.06,842.0,-78.48,,,,,,,,,,850.0,417.0,-69.89,,,,,,,34.058781,-118.236794,1976812.0,31.566,1659975463.7
89,4.2,11.41,52.791,,,,,,,,,,,,,850.0,417.0,-70.61,25.53,0.0,,,,,34.058781,-118.236794,,,1659975463.8
90,5.26,15.19,70.452,39250.06,842.0,-78.42,,,,,,,,,,850.0,417.0,-71.5,,0.0,,,,,34.058781,-118.236794,,,1659975463.9
91,3.27,15.32,76.884,39250.06,842.0,-78.3,,,,,,,,,3.921,850.0,417.0,-71.91,,,,,,,34.058781,-118.236794,,,1659975464.0
