,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,4326,26596,2022-08-10 21:57:43.400000,41.112396,-111.199799,6.032,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.73,-88.61,8446.0,10.0,13.76,11.3,-88.61
1,4327,26601,2022-08-10 21:57:43.900000,41.112526,-111.199646,5.977,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.44,-89.81,5903.0,10.0,11.73,3.3,-89.81
2,4328,26606,2022-08-10 21:57:44.400000,41.112652,-111.199501,12.541,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.57,-87.83,13142.0,10.0,14.65,0.0,-87.83
3,4329,26611,2022-08-10 21:57:44.900000,41.112778,-111.199348,12.795,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.57,-88.46,12265.0,10.0,18.82,23.08,-88.46
4,4330,26616,2022-08-10 21:57:45.400000,41.112907,-111.199203,9.051,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.29,-87.36,10650.0,10.0,9.63,0.0,-87.36
5,4331,26621,2022-08-10 21:57:45.900000,41.113037,-111.199051,4.79,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,26.0,-87.84,6804.0,10.0,21.74,16.67,-87.84
6,4332,26626,2022-08-10 21:57:46.400000,41.113174,-111.198906,7.418,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.2,-93.09,8963.0,10.0,17.93,5.21,-93.09
7,4333,26631,2022-08-10 21:57:46.900000,41.113308,-111.198761,8.431,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,24.2,-89.49,8652.0,10.0,19.56,9.76,-89.49
8,4334,26636,2022-08-10 21:57:47.400000,41.11343,-111.198608,8.157,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.4,-89.96,7313.0,10.0,18.11,17.44,-89.96
9,4335,26641,2022-08-10 21:57:47.900000,41.113556,-111.198456,11.834,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.08,-91.03,11355.0,10.0,14.75,16.35,-91.03
10,4336,26646,2022-08-10 21:57:48.400000,41.113693,-111.198311,12.461,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.17,-94.51,9103.0,10.0,17.42,11.36,-94.51
11,4337,26651,2022-08-10 21:57:48.900000,41.113827,-111.198166,16.569,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.29,-95.89,12381.0,10.0,16.38,5.93,-95.89
12,4338,26656,2022-08-10 21:57:49.400000,41.113964,-111.198021,22.071,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.18,-93.24,14649.0,10.0,17.25,15.23,-93.24
13,4339,26661,2022-08-10 21:57:49.900000,41.114098,-111.197876,22.962,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.25,-92.67,15201.0,10.0,16.93,8.66,-92.67
14,4340,26666,2022-08-10 21:57:50.400000,41.114235,-111.197731,15.879,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.0,-93.94,11851.0,10.0,16.1,9.2,-93.94
15,4341,26671,2022-08-10 21:57:50.900000,41.114368,-111.197586,9.867,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.22,-93.89,10103.0,10.0,16.25,0.0,-93.89
16,4342,26676,2022-08-10 21:57:51.400000,41.114498,-111.197441,5.278,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,22.6,-95.47,6686.0,10.0,19.11,20.93,-95.47
17,4343,26681,2022-08-10 21:57:51.900000,41.114628,-111.197289,7.814,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.43,-92.83,8165.0,10.0,16.35,9.09,-92.83
18,4344,26686,2022-08-10 21:57:52.400000,41.114761,-111.197144,5.552,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.83,-91.37,9988.0,10.0,16.68,1.22,-91.37
19,4345,26691,2022-08-10 21:57:52.900000,41.114895,-111.196999,5.906,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,26.0,-91.93,10817.0,10.0,19.56,23.81,-91.93
20,4346,26696,2022-08-10 21:57:53.400000,41.115025,-111.196854,3.434,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.86,-91.28,6944.0,10.0,,,-91.28
21,4347,26701,2022-08-10 21:57:53.900000,41.115158,-111.196709,4.469,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,26.13,-91.63,8847.0,10.0,16.35,0.0,-91.63
22,4348,26706,2022-08-10 21:57:54.400000,41.115292,-111.196564,8.791,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.29,-93.59,11136.0,10.0,17.48,11.11,-93.59
23,4349,26711,2022-08-10 21:57:54.900000,41.115425,-111.196419,5.496,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.21,-93.91,6287.0,10.0,15.24,15.0,-93.91
24,4350,26716,2022-08-10 21:57:55.400000,41.115555,-111.196274,3.846,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.31,-93.04,6164.0,10.0,16.18,4.55,-93.04
25,4351,26721,2022-08-10 21:57:55.900000,41.115688,-111.196129,3.747,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.78,-91.51,4740.0,10.0,17.2,3.85,-91.51
26,4352,26726,2022-08-10 21:57:56.400000,41.115822,-111.195984,9.281,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.58,-91.92,11904.0,10.0,13.67,10.87,-91.92
27,4353,26731,2022-08-10 21:57:56.900000,41.115955,-111.195839,16.003,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,26.0,-91.47,11665.0,10.0,18.34,12.14,-91.47
28,4354,26736,2022-08-10 21:57:57.400000,41.116093,-111.195694,13.431,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,26.09,-92.36,11991.0,10.0,17.94,23.08,-92.36
29,4355,26741,2022-08-10 21:57:57.900000,41.116226,-111.195541,6.96,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,26.0,-91.98,7910.0,10.0,17.1,13.33,-91.98
30,4356,26746,2022-08-10 21:57:58.400000,41.116356,-111.195396,5.873,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.7,-93.91,7546.0,10.0,22.45,14.29,-93.91
31,4357,26751,2022-08-10 21:57:58.900000,41.116486,-111.195251,6.635,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,24.78,-96.27,7974.0,10.0,12.74,4.82,-96.27
32,4358,26756,2022-08-10 21:57:59.400000,41.116615,-111.195091,8.547,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,19.2,-96.49,9208.0,10.0,12.35,19.08,-96.49
33,4359,26761,2022-08-10 21:57:59.900000,41.116745,-111.194939,7.868,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,19.75,-98.43,7914.0,10.0,12.41,13.85,-98.43
34,4360,26766,2022-08-10 21:58:00.400000,41.116875,-111.194778,4.693,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,20.0,-97.07,5657.0,10.0,19.27,4.35,-97.07
35,4361,26771,2022-08-10 21:58:00.900000,41.117008,-111.194626,4.241,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,21.55,-95.73,5534.0,10.0,21.15,17.39,-95.73
36,4362,26776,2022-08-10 21:58:01.400000,41.11713,-111.194473,3.632,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.5,-96.0,5972.0,10.0,20.0,10.0,-96.0
37,4363,26781,2022-08-10 21:58:01.900000,41.117256,-111.194321,5.359,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.14,-97.26,6043.0,10.0,18.73,4.35,-97.26
38,4364,26786,2022-08-10 21:58:02.400000,41.117382,-111.19416,3.953,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,22.7,-99.05,4981.0,10.0,17.58,15.38,-99.05
39,4365,26791,2022-08-10 21:58:02.900000,41.117504,-111.194,2.289,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,19.69,-99.47,4232.0,10.0,18.04,0.0,-99.47
40,4366,26796,2022-08-10 21:58:03.400000,41.117626,-111.193832,2.696,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,18.33,-98.98,6454.0,10.0,17.21,13.04,-98.98
41,4367,26801,2022-08-10 21:58:03.900000,41.117744,-111.193665,2.285,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,21.17,-98.09,8308.0,10.0,17.7,4.35,-98.09
42,4368,26806,2022-08-10 21:58:04.400000,41.117867,-111.193489,2.6,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,18.5,-98.47,5028.0,10.0,13.93,15.15,-98.47
43,4369,26811,2022-08-10 21:58:04.900000,41.117985,-111.193314,3.411,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,19.17,-98.47,4259.0,10.0,17.13,0.0,-98.47
44,4370,26816,2022-08-10 21:58:05.400000,41.118103,-111.193146,2.559,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,19.57,-96.71,4171.0,10.0,19.27,4.35,-96.71
45,4371,26821,2022-08-10 21:58:05.900000,41.118221,-111.19297,3.443,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.47,-96.08,5203.0,10.0,16.76,8.7,-96.08
46,4372,26826,2022-08-10 21:58:06.400000,41.11834,-111.192795,3.29,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.29,-95.51,4380.0,10.0,18.77,3.45,-95.51
47,4373,26831,2022-08-10 21:58:06.900000,41.118454,-111.192619,5.701,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.4,-94.59,7133.0,10.0,15.26,0.0,-94.59
48,4374,26836,2022-08-10 21:58:07.400000,41.118568,-111.192444,3.738,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.0,-94.63,4845.0,10.0,15.33,3.57,-94.63
49,4375,26841,2022-08-10 21:58:07.900000,41.118683,-111.192268,5.288,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.0,-95.52,6795.0,10.0,22.55,13.04,-95.52
50,4376,26846,2022-08-10 21:58:08.400000,41.118797,-111.192093,5.086,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,23.2,-96.67,6176.0,10.0,21.03,5.8,-96.67
51,4377,26851,2022-08-10 21:58:08.900000,41.118912,-111.19191,10.076,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.23,-93.75,9870.0,10.0,19.2,1.96,-93.75
52,4378,26856,2022-08-10 21:58:09.400000,41.119015,-111.191727,15.156,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,24.91,-92.34,13078.0,10.0,18.46,11.76,-92.34
53,4379,26861,2022-08-10 21:58:09.900000,41.119122,-111.191544,10.603,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,25.21,-95.24,9658.0,10.0,15.8,24.81,-95.24
54,4380,26866,2022-08-10 21:58:10.400000,41.119232,-111.191368,9.916,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,315.0,,,,,,,,,,,20.0,-95.66,10615.0,10.0,20.1,4.55,-95.66
