1660601603411
PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=1 ttl=40 time=77.4 ms
46 bytes from 3.19.94.93: icmp_seq=2 ttl=40 time=172 ms
46 bytes from 3.19.94.93: icmp_seq=3 ttl=40 time=56.5 ms
46 bytes from 3.19.94.93: icmp_seq=4 ttl=40 time=125 ms
46 bytes from 3.19.94.93: icmp_seq=5 ttl=40 time=89.7 ms
46 bytes from 3.19.94.93: icmp_seq=6 ttl=40 time=177 ms
46 bytes from 3.19.94.93: icmp_seq=7 ttl=40 time=61.5 ms
46 bytes from 3.19.94.93: icmp_seq=8 ttl=40 time=294 ms
46 bytes from 3.19.94.93: icmp_seq=9 ttl=40 time=86.2 ms
46 bytes from 3.19.94.93: icmp_seq=10 ttl=40 time=53.8 ms
46 bytes from 3.19.94.93: icmp_seq=11 ttl=40 time=53.3 ms
46 bytes from 3.19.94.93: icmp_seq=12 ttl=40 time=54.2 ms
46 bytes from 3.19.94.93: icmp_seq=13 ttl=40 time=52.3 ms
46 bytes from 3.19.94.93: icmp_seq=14 ttl=40 time=51.8 ms
46 bytes from 3.19.94.93: icmp_seq=15 ttl=40 time=63.3 ms
46 bytes from 3.19.94.93: icmp_seq=16 ttl=40 time=74.2 ms
46 bytes from 3.19.94.93: icmp_seq=17 ttl=40 time=60.2 ms
46 bytes from 3.19.94.93: icmp_seq=18 ttl=40 time=57.4 ms
46 bytes from 3.19.94.93: icmp_seq=19 ttl=40 time=65.5 ms
46 bytes from 3.19.94.93: icmp_seq=20 ttl=40 time=55.1 ms
46 bytes from 3.19.94.93: icmp_seq=21 ttl=40 time=54.4 ms
46 bytes from 3.19.94.93: icmp_seq=22 ttl=40 time=52.7 ms
46 bytes from 3.19.94.93: icmp_seq=23 ttl=40 time=52.5 ms
46 bytes from 3.19.94.93: icmp_seq=24 ttl=40 time=59.3 ms
46 bytes from 3.19.94.93: icmp_seq=25 ttl=40 time=58.0 ms
46 bytes from 3.19.94.93: icmp_seq=26 ttl=40 time=50.4 ms
46 bytes from 3.19.94.93: icmp_seq=27 ttl=40 time=49.3 ms
46 bytes from 3.19.94.93: icmp_seq=28 ttl=40 time=59.0 ms
46 bytes from 3.19.94.93: icmp_seq=29 ttl=40 time=56.5 ms
46 bytes from 3.19.94.93: icmp_seq=30 ttl=40 time=57.4 ms
46 bytes from 3.19.94.93: icmp_seq=31 ttl=40 time=54.4 ms
46 bytes from 3.19.94.93: icmp_seq=32 ttl=40 time=51.4 ms
46 bytes from 3.19.94.93: icmp_seq=33 ttl=40 time=145 ms
46 bytes from 3.19.94.93: icmp_seq=34 ttl=40 time=52.7 ms
46 bytes from 3.19.94.93: icmp_seq=35 ttl=40 time=67.6 ms
46 bytes from 3.19.94.93: icmp_seq=36 ttl=40 time=176 ms
46 bytes from 3.19.94.93: icmp_seq=37 ttl=40 time=50.4 ms
46 bytes from 3.19.94.93: icmp_seq=38 ttl=40 time=94.2 ms
