,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,6132,36007,2022-08-11 00:56:19.300000,41.747032,-107.589958,5.769,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,16.71,-98.24,6874.0,10.0,17.31,7.69,-98.24
1,6133,36011,2022-08-11 00:56:19.700000,41.747044,-107.589752,3.176,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,19.33,-97.39,4230.0,10.0,16.88,6.52,-97.39
2,6134,36016,2022-08-11 00:56:20.200000,41.747059,-107.5895,2.33,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,19.47,-96.92,3348.0,10.0,17.25,0.0,-96.92
3,6135,36021,2022-08-11 00:56:20.700000,41.747078,-107.589249,2.376,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,18.47,-96.51,6026.0,10.0,10.48,8.57,-96.51
4,6136,36026,2022-08-11 00:56:21.200000,41.747101,-107.588989,3.365,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,17.78,-96.75,6228.0,10.0,18.35,13.04,-96.75
5,6137,36031,2022-08-11 00:56:21.700000,41.747116,-107.588745,2.469,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,,-97.54,5239.0,10.0,16.25,0.0,-97.54
6,6138,36036,2022-08-11 00:56:22.200000,41.747131,-107.588493,2.674,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,19.0,-97.11,3749.0,10.0,17.27,4.35,-97.11
7,6139,36041,2022-08-11 00:56:22.700000,41.74715,-107.588226,2.193,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,18.13,-97.24,2444.0,10.0,17.95,4.35,-97.24
8,6140,36046,2022-08-11 00:56:23.200000,41.747169,-107.587967,2.742,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,18.7,-97.04,4287.0,10.0,18.45,8.33,-97.04
9,6141,36051,2022-08-11 00:56:23.700000,41.747185,-107.587715,2.536,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,10.0,,,,,,,,,,,19.06,-98.37,4542.0,10.0,17.91,4.35,-98.37
