,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,13407,80286,2022-08-13 00:02:30.400000,41.60363,-90.69912,90.453,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,16.38,-91.72,27898.0,10.0,20.98,12.27,-91.72
1,13408,80291,2022-08-13 00:02:30.900000,41.60363,-90.698853,46.028,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,14.0,-98.83,16685.0,10.0,17.24,15.15,-98.83
2,13409,80296,2022-08-13 00:02:31.400000,41.60363,-90.698853,31.122,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,10.17,-101.57,12678.0,10.0,13.0,50.0,-101.57
3,13410,80301,2022-08-13 00:02:31.900000,41.60363,-90.698677,31.964,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,9.1,-103.93,12954.0,10.0,7.08,7.83,-103.93
4,13411,80306,2022-08-13 00:02:32.400000,41.60363,-90.698227,26.892,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,1.31,-104.69,15094.0,10.0,8.69,19.31,-104.69
5,13412,80311,2022-08-13 00:02:32.900000,41.60363,-90.69796,34.57,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,5.0,-101.26,17822.0,10.0,10.81,6.94,-101.26
6,13413,80316,2022-08-13 00:02:33.400000,41.60363,-90.69796,26.001,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,5.1,-100.21,11927.0,10.0,3.33,1.55,-100.21
7,13414,80321,2022-08-13 00:02:33.900000,41.60363,-90.697777,25.338,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,10.57,-98.34,6646.0,10.0,12.55,13.33,-98.34
8,13415,80326,2022-08-13 00:02:34.400000,41.60363,-90.697327,24.173,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,1.74,-99.93,20406.0,10.0,10.41,13.06,-99.93
9,13416,80331,2022-08-13 00:02:34.900000,41.60363,-90.69706,38.911,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,16.0,-90.0,23944.0,10.0,14.13,6.7,-90.0
10,13417,80336,2022-08-13 00:02:35.400000,41.60363,-90.69706,46.771,0.312,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,16.3,-87.67,19496.0,10.0,13.76,13.43,-87.67
11,13418,80341,2022-08-13 00:02:35.900000,41.60363,-90.696884,37.214,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,18.08,-88.92,15826.0,10.0,11.68,8.16,-88.92
12,13419,80346,2022-08-13 00:02:36.400000,41.60363,-90.696449,69.938,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,15.73,-88.81,27650.0,10.0,12.26,11.46,-88.81
13,13420,80351,2022-08-13 00:02:36.900000,41.60363,-90.696182,53.489,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,17.36,-87.57,18624.0,10.0,14.92,8.48,-87.57
14,13421,80356,2022-08-13 00:02:37.400000,41.60363,-90.696182,43.706,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,17.57,-89.06,15423.0,10.0,13.15,9.69,-89.06
15,13422,80361,2022-08-13 00:02:37.900000,41.60363,-90.696091,72.839,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,,-87.33,25419.0,10.0,13.89,7.08,-87.33
16,13423,80366,2022-08-13 00:02:38.400000,41.60363,-90.695869,66.283,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,18.87,-87.45,22960.0,10.0,16.46,12.45,-87.45
17,13424,80371,2022-08-13 00:02:38.900000,41.60363,-90.695648,71.511,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,19.83,-87.44,24064.0,10.0,13.44,7.89,-87.44
18,13425,80376,2022-08-13 00:02:39.400000,41.60363,-90.695427,84.46,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,18.11,-85.0,25176.0,10.0,15.62,6.05,-85.0
19,13426,80381,2022-08-13 00:02:39.900000,41.60363,-90.695213,89.149,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,17.3,-88.8,26480.0,10.0,15.92,12.88,-88.8
20,13427,80386,2022-08-13 00:02:40.400000,41.60363,-90.694992,81.129,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,16.0,-86.91,1166.0,10.0,15.11,9.2,-86.91
21,13428,80391,2022-08-13 00:02:40.900000,41.603634,-90.694771,41.353,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,24.0,-86.39,17233.0,10.0,14.0,31.91,-86.39
22,13429,80396,2022-08-13 00:02:41.400000,41.603638,-90.69455,59.591,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.0,104.0,,,,,,,,,,,17.75,-85.0,30149.0,10.0,12.97,12.78,-85.0
