,level_0,index,TIME_STAMP,Lat,Lon,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Event 5G-NR/LTE Events,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving PCI,5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 UL BLER [%],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF BandWidth,5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC UL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC UL Throughput [Mbps],5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI SCell[1] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[2] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[3] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[4] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[5] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[6] Layer2 MAC DL Throughput [Mbps],5G KPI SCell[7] Layer2 MAC DL Throughput [Mbps],LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving PCI,LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI SCell[1] MAC DL Throughput[Mbps],LTE KPI SCell[2] MAC DL Throughput[Mbps],LTE KPI SCell[3] MAC DL Throughput[Mbps],LTE KPI SCell[4] MAC DL Throughput[Mbps],LTE KPI SCell[1] MAC UL Throughput[Mbps],LTE KPI SCell[2] MAC UL Throughput[Mbps],LTE KPI SCell[3] MAC UL Throughput[Mbps],LTE KPI SCell[4] MAC UL Throughput[Mbps],LTE KPI PCell UL MCS,LTE KPI PCell Serving RSRP[dBm],Smart Phone Smart Throughput Mobile Network Tx Byte,LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell DL MCS0,LTE KPI PDSCH BLER[%],LTE KPI PCell Serving RSRP[dBm]
0,2569,15633,2022-08-10 03:59:00.700000,40.203239,-111.655121,45.605,0.288,,3730.08,227.0,13.25,0.0,-97.84,,16.67,42.86,0.712,-97.84,,,,,,,,7.476,,,,,,,,,,,,,,,,,,,,,,17947.0,,,,
1,2570,15639,2022-08-10 03:59:01.200000,40.203239,-111.655121,32.084,0.181,,3730.08,227.0,18.96,6.9,-95.34,,12.5,12.5,0.305,-95.34,,,,,,,,4.409,,,,,,,,66536.0,233.0,,,,,,,,,,,15.0,-99.97,11355.0,20.0,4.82,20.83,-99.97
2,2571,15644,2022-08-10 03:59:01.700000,40.203342,-111.655212,36.447,0.292,,3730.08,227.0,17.72,6.45,-93.93,,13.49,8.47,0.577,-93.93,,,,,,,,45.799,,,,,,,,66536.0,233.0,,,,,,,,,,,,-97.06,18215.0,20.0,,,-97.06
3,2572,15649,2022-08-10 03:59:02.200000,40.203472,-111.655327,40.395,0.308,,3730.08,227.0,16.42,11.11,-93.27,,10.91,7.79,0.392,-93.27,,,,,,,,51.358,,,,,,,,,,,,,,,,,,,,24.0,,19222.0,,,,
4,2573,15654,2022-08-10 03:59:02.700000,40.203598,-111.655441,42.733,0.286,,3730.08,227.0,12.4,0.0,-96.55,,7.28,5.21,0.27,-96.55,,,,,,,,49.224,,,,,,,,,,,,,,,,,,,,,,17932.0,,,,
5,2574,15659,2022-08-10 03:59:03.200000,40.203724,-111.655548,19.764,0.15,,3730.08,227.0,10.0,0.0,-99.16,,3.48,10.81,0.159,-99.16,,,,,,,,11.598,,,,,,,,66536.0,233.0,,,,,,,,,,,,-95.44,9368.0,20.0,,,-95.44
6,2575,15664,2022-08-10 03:59:03.700000,40.203854,-111.655663,15.651,0.173,,3730.08,227.0,7.15,0.0,-100.27,,3.32,7.89,0.361,-100.27,,,,,,,,23.912,,,,,,,,,,,,,,,,,,,,,,10832.0,,,,
7,2576,15670,2022-08-10 03:59:04.099216,40.203957,-111.655754,,,NR SCG Modification Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2577,15680,2022-08-10 03:59:04.300000,40.20401,-111.6558,14.257,0.141,,,,16.0,33.33,,,11.35,2.0,0.284,,,,,,,,,36.029,,,,,,,,66536.0,233.0,,,,,,,,,,,,-92.28,8832.0,20.0,0.5,0.0,-92.28
9,2578,15684,2022-08-10 03:59:04.700000,40.204113,-111.655891,34.295,0.28,,3730.08,368.0,12.63,17.39,-97.39,60.0,15.4,17.31,0.286,-97.39,,,,,,,,38.399,,,,,,,,,,,,,,,,,,,,,,17495.0,,,,
